Flask server started
2018-01-26 12:03:59: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:03:59: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:03:59: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:03:59: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:03:59: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:03:59: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:03:59: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:03:59: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:03:59: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:03:59: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:00: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:00: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:00: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:00: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:00: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:00: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:00: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:00: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:00: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:01: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:01: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:01: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
('Client disconnected', '6dfd00d21160449eaa666eea8de22bf0')
2018-01-26 12:04:01: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:01: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:01: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:01: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:01: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:01: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:01: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:02: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:02: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:02: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:02: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:02: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:02: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:02: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:02: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:02: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:02: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:03: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:03: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:03: {u'hr': 114, u'flex': 91, u'eda': 135, u'id': 0}
2018-01-26 12:04:03: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:03: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
